0,0.2,0.5,0.7,1
0.1564,0.1566,0.2279,0.3028,0.5231
0.2293,0.1693,0.12,0.2552,0.3952
0.2549,0.2564,0.4951,0.7742,0.8991
3.487,3.5901,3.7445,3.8536,4.0179
0.1468,0.1152,0.1826,0.2828,0.5409
3.0196,3.0054,2.9847,2.9708,2.95
0.3073,0.3261,0.3675,0.4046,0.5403
0.189,0.1474,0.3133,0.5835,0.7712
0.1734,0.1992,0.3502,0.4986,0.6561
0.1734,0.2191,0.3982,0.5666,0.752
0.2373,0.2037,0.2326,0.387,0.5633
0.0865,0.185,0.4284,0.5578,0.8272
0.3353,0.3315,0.3821,0.4342,0.4976
0.0629,0.1428,0.3918,0.5441,0.9973
0.3537,0.3845,0.5795,0.6791,0.8025
0.3918,0.3397,0.3869,0.4643,0.5553
0.1223,0.1287,0.2321,0.3258,0.5932
0.8744,0.9505,1.2308,1.3806,1.6163
0.0762,0.0813,0.2167,0.262,0.3843
0.024,0.0601,0.2595,0.4412,0.625
0.3503,0.3881,0.5931,0.7193,0.8437
0.3035,0.318,0.3714,0.4747,0.6675
2.2937,2.2426,2.3607,2.2239,2.3949
0.0341,0.0626,0.1708,0.289,0.3985
0.0786,0.0812,0.1145,0.2066,0.306
0.4352,0.3887,0.4446,0.6146,0.7484
0.4933,0.4654,0.5564,0.5727,0.5917
0.4958,0.6784,1.0515,1.3251,1.7467
0.3664,0.2359,0.1835,0.359,0.7517
0.1334,0.1436,0.1651,0.2116,0.5731
0.4084,0.4265,0.372,0.4837,0.9834
0.112,0.1319,0.2551,0.3645,0.4402
0.4738,0.5587,0.7524,0.8486,1.0285
0.1946,0.1975,0.307,0.4194,0.5795
0.5163,0.6009,1.0301,1.0481,0.9649
0.3988,0.2951,0.3608,0.493,0.6555
0.2342,0.268,0.366,0.4566,0.5166
0.1093,0.1047,0.2014,0.3295,0.4821
0.9579,1.0042,1.2744,1.4625,1.6125
1.7992,1.8201,1.8645,1.8912,1.9276
0.3452,0.404,0.7023,0.9872,1.3254
0.1077,0.1316,0.1971,0.2246,0.5316
0.0935,0.2236,0.4562,0.604,0.7494
0.3452,0.3794,0.714,0.9777,1.2626
0.2811,0.1853,0.3074,0.2897,0.624
0.1006,0.1176,0.3385,0.4091,0.6027
0.0798,0.0619,0.155,0.2872,0.4
0.4978,0.5528,0.8243,1.2505,1.5652
0.3416,0.2012,0.1023,0.1985,0.4797
0.3091,0.3317,0.4674,0.6828,0.8924
1.0404,1.0296,1.0543,1.1766,1.2858
